ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
-1.2847,0.3779,9.3459,-1.929,0.1183,9.6143,0.6535,0.2606,-0.2884,0.0041,-0.028,0.2355,58,14.88,-1.41,-26.97,266.07,-0.69,11.34,5,46.138,47.850124,12.119251,506,NaN,0,5.36,,19 / 28,9,2018-11-12 07:50:58:700
0.2688,2.1098,9.6188,0.4434,1.1981,9.7231,-0.1736,0.9174,-0.0529,0.0476,0.0213,-0.1136,61,4.06,0.63,-32.02,311.4,-6.92,-2.64,5,44.239,47.85012,12.119251,506,NaN,0,4.288,,19 / 28,2008,2018-11-12 07:51:00:699
-0.4864,2.7312,8.7207,-0.7473,1.5724,9.6509,0.2537,1.1739,-0.8374,-0.0775,0.0938,0.2226,81,11.35,-5.62,-30.99,264.53,-9.24,4.38,5,42.163,47.85012,12.119252,506,NaN,0,4.288,,19 / 28,4008,2018-11-12 07:51:02:699
0.3823,2.0064,8.5296,-0.0786,1.5288,9.6864,0.4624,0.5047,-1.1675,0.157,0.0874,0.4005,93,18.02,-10,-23.63,250.86,-8.82,0.46,5,42.71,47.85012,12.119252,506,NaN,0,4.288,,19 / 28,6008,2018-11-12 07:51:04:699
-0.6609,1.7785,9.9396,-0.9504,1.0646,9.7023,0.2761,0.729,0.3716,-0.4355,0.0143,0.0262,170,26.42,7.69,-25.29,293.4,-6.68,5.59,5,43.719,47.85012,12.119252,506,NaN,0,4.288,,19 / 28,8009,2018-11-12 07:51:06:700
0.0373,1.3831,9.1391,-0.4496,0.493,9.7839,0.482,0.8968,-0.5321,0.003,-0.0574,-0.0902,157,16.38,-0.16,-33.99,276.9,-2.88,2.63,5,42.602,47.85012,12.119252,506,NaN,0,4.288,,19 / 28,10009,2018-11-12 07:51:08:700
-0.7613,2.1351,8.6782,-0.4672,1.3969,9.6954,-0.3436,0.745,-0.8745,0.1683,0.1889,0.1589,121,15.32,-4.3,-34.1,273.57,-7.97,2.55,5,45.501,47.85012,12.119252,506,NaN,0,4.288,,19 / 28,12009,2018-11-12 07:51:10:700
0.4238,1.9446,10.3789,0.0476,1.2084,9.7318,0.2944,0.7096,0.8378,0.0605,0.0552,0.1037,115,15.52,-3.71,-37.77,271.96,-6.98,-0.21,5,43.203,47.85012,12.119251,506,NaN,0,4.288,,20 / 28,14009,2018-11-12 07:51:12:700
-1.2824,2.9289,9.6788,-0.9605,1.8562,9.5814,-0.44,1.0706,0.0945,0.1263,-0.0715,-0.2131,282,22.04,-9.18,-34.67,264.11,-10.81,5.71,5,45.096,47.85012,12.119251,506,NaN,0,4.288,,20 / 28,16009,2018-11-12 07:51:14:700
-2.0229,-0.5847,12.9562,-0.4224,1.419,9.6942,-1.645,-2.1648,3.6528,-0.6548,-0.2574,0.0461,251,26.05,-3.7,-34.46,274.67,-9.67,2.92,5,41.946,47.85012,12.11925,506,NaN,0,3.216,,20 / 28,18009,2018-11-12 07:51:16:700
2.9253,1.2486,9.9744,0.2974,1.5098,9.6852,2.5449,-0.2365,0.643,-0.2137,0.2309,-0.5575,293,20.21,10.59,-43.03,309.22,-8.86,-1.76,5,41.864,47.850124,12.119248,505,NaN,0,3.216,,20 / 28,20009,2018-11-12 07:51:18:700
-1.3066,0.5527,8.9073,0.0089,1.3654,9.7111,-1.1388,-0.6302,-1.017,0.0967,0.5763,0.6537,311,14.11,4.59,-44.1,313.33,-8.14,-1.01,5,46,47.850124,12.119248,505,NaN,0,3.216,,21 / 28,22009,2018-11-12 07:51:20:700
-1.1781,1.2282,9.267,-0.4918,1.1952,9.7211,-0.6159,0.0921,-0.2672,-0.1433,-0.2313,0.0426,459,12.38,-0.72,-39.64,296.64,-7.33,3.22,5,45.21,47.850124,12.119247,505,NaN,0,3.216,,21 / 28,24008,2018-11-12 07:51:22:699
-1.1685,1.6326,8.8176,-0.1773,1.3146,9.7165,-1.0554,0.3945,-0.7963,0.0385,0.1943,0.3082,237,14.29,-3.57,-37.33,274.42,-7.7,1.05,5,39.502,47.850124,12.119245,505,NaN,0,3.216,,21 / 28,26009,2018-11-12 07:51:24:700
-0.0361,2.0767,8.3884,0.4306,1.1837,9.7254,-0.4908,0.9488,-1.1222,-0.0463,-0.0632,-0.1545,175,-0.44,-4.51,-31.53,307.52,-6.87,-2.49,5,41.09,47.85013,12.119244,505,NaN,0,3.216,,21 / 28,28009,2018-11-12 07:51:26:700
-0.7542,1.5599,9.4072,-0.4184,1.243,9.7186,-0.3358,0.3222,-0.1947,-0.0513,0.049,-0.0993,332,23,-8.89,-33.4,258.97,-7.5,2.26,5,43.172,47.850155,12.119176,503,NaN,2.23,3.216,300.4,21 / 28,30009,2018-11-12 07:51:28:700
-0.4024,1.6709,8.442,-0.0795,1.6439,9.6676,-0.2594,0.0616,-1.054,0.036,-0.1809,0.3142,244,21.51,1.01,-39.8,292.36,-9.62,0.66,5,46.183,47.850166,12.119136,502,NaN,1.94,3.216,322.4,21 / 28,32010,2018-11-12 07:51:30:701
-0.648,2.2263,8.99,-0.1453,1.7589,9.6465,-0.5606,0.5091,-0.5021,-0.1202,0.1435,-0.0018,209,19.49,-4.13,-38.62,279.59,-10.33,0.86,5,46.271,47.850178,12.119096,501,NaN,1.73,3.216,326.9,21 / 28,34009,2018-11-12 07:51:32:700
-0.2106,3.2418,8.4223,-0.0662,2.3149,9.5293,-0.091,1.037,-1.0656,0.1713,-0.0814,0.2418,335,14.29,0.69,-41.1,304.21,-13.31,0.69,5,39.729,47.850193,12.119052,500,NaN,3.53,4.288,297.1,21 / 28,36009,2018-11-12 07:51:34:700
-0.7246,3.3322,9.2063,-0.9653,2.6653,9.388,0.2085,0.6954,0.141,-0.1649,-0.0888,-0.0591,504,22.32,-7.2,-34.41,279.05,-15.93,5.99,5,44.015,47.85021,12.119022,498,NaN,2.52,4.288,262.6,21 / 28,38009,2018-11-12 07:51:36:700
0.022,3.2513,9.3033,0.006,2.7395,9.4162,-0.0687,0.5445,0.1157,-0.1064,0.1647,0.0843,313,14.42,-1.68,-41.17,306.4,-16.34,-0.14,5,46.17,47.850212,12.118989,497,NaN,3.96,4.288,266.3,21 / 28,40009,2018-11-12 07:51:38:700
