ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GRAVITY X (m/s²),GRAVITY Y (m/s²),GRAVITY Z (m/s²),LINEAR ACCELERATION X (m/s²),LINEAR ACCELERATION Y (m/s²),LINEAR ACCELERATION Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),LIGHT (lux),MAGNETIC FIELD X (μT),MAGNETIC FIELD Y (μT),MAGNETIC FIELD Z (μT),ORIENTATION Z (azimuth °),ORIENTATION X (pitch °),ORIENTATION Y (roll °),PROXIMITY (m),SOUND LEVEL (dB),LOCATION Latitude : ,LOCATION Longitude : ,LOCATION Altitude ( m),LOCATION Altitude-google ( m),LOCATION Speed ( Kmh),LOCATION Accuracy ( m),LOCATION ORIENTATION (°),Satellites in range,Time since start in ms,YYYY-MO-DD HH-MI-SS_SSS
-2.1217,0.4476,9.5648,-1.9168,0.5385,9.6024,-1.1172,-0.7871,-1.6422,-0.0824,-0.455,-0.5179,118,34.67,-56.47,-117.56,186.46,-6.33,14.3,5,50.075,47.85888,12.126592,,NaN,,22.223,,0 / 25,7,2018-11-18 16:38:09:894
-0.8012,-0.1189,10.2881,0.3075,0.2718,9.7981,-0.3792,-2.4862,1.0919,0.2359,0.045,-0.1329,88,26.08,-52.19,-121.73,203.62,0.59,1.27,5,48.553,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,1008,2018-11-18 16:38:10:895
-1.5882,-1.9375,9.0291,-1.5541,-2.3349,9.397,-0.9884,-1.647,-0.3692,0.4457,0.2778,1.9865,122,27.46,-47.94,-118.64,208.2,1.67,-0.28,5,48.204,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,2008,2018-11-18 16:38:11:895
-0.7653,-1.8904,12.8385,0.1373,0.2698,9.802,-0.4699,-1.1299,1.8932,0.162,0.0356,0.1805,82,26.7,-56.36,-121.15,209.47,-1.68,-1.25,5,50.134,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,3007,2018-11-18 16:38:12:894
0.5641,1.8296,9.5367,0.6747,1.058,9.726,0.0759,0.8225,-0.7064,0.0072,-0.1043,0.0621,78,24.33,-58.58,-122.09,216.33,-6.15,-4.6,5,44.104,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,4008,2018-11-18 16:38:13:895
2.1278,0.8927,11.1429,0.9653,1.33,9.668,1.6266,0.3023,-0.503,-0.569,-0.4057,-0.281,78,24.93,-62.65,-122.39,218.23,-9.92,-3.58,5,50.261,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,5007,2018-11-18 16:38:14:894
-0.489,1.8814,8.7496,0.2761,1.0842,9.7426,-0.6176,0.6016,-0.7394,-0.0264,0.022,-0.1241,80,25.32,-58.95,-122.75,212.82,-6.52,-1.8,5,56.232,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,6008,2018-11-18 16:38:15:895
0.5376,-0.0537,10.1179,1.158,1.0985,9.6759,0.2806,-0.47,-1.0315,-0.247,-0.0606,-0.0279,77,21.32,-56.54,-124.06,216.02,-5.53,-5.48,5,57.198,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,7007,2018-11-18 16:38:16:894
1.6821,2.4596,10.1517,1.0663,1.1346,9.6823,0.303,0.6359,0.7298,0.0994,0.2469,0.0063,74,18.67,-56.5,-125.03,220.14,-6.02,-8.02,5,61.336,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,8008,2018-11-18 16:38:17:895
1.3774,1.1977,8.453,0.2871,1.2715,9.7196,-0.7167,-0.2487,-0.0321,0.3927,-0.1971,0.2494,82,20.47,-56.77,-124.09,215.88,-8.33,-3.7,5,47.455,47.858624,12.126501,497,NaN,4,16.08,225.6,0 / 25,9008,2018-11-18 16:38:18:895
